Trial,Event Type,Time,start_TR,end_TR,total_TR,Duration,Title,Type,NMov,subject,session,task,run
7,Video,5274407,120,135,195,15,M18removerD.avi,M,18,6,2,3,1
8,Video,6014011,138,147,195,9,S22shirtD.avi,S,22,6,2,3,1
9,Video,6507080,150,168,195,18,M19sandwichD.avi,M,19,6,2,3,1
10,Video,7369951,171,195,195,24,M22shirtD.avi,M,22,6,2,3,1
1,Video,547910,5,27,150,22,S2boatD.avi,S,2,6,2,4,1
2,Video,1575138,30,46,150,16,S4buttonD.avi,S,4,6,2,4,1
3,Video,2355830,49,71,150,22,M2boatD.avi,M,2,6,2,4,1
4,Video,3383141,74,94,150,20,S5cardD.avi,S,5,6,2,4,1
5,Video,4328191,97,113,150,16,M4buttonD.avi,M,4,6,2,4,1
6,Video,5108884,116,150,150,34,M5cardD.avi,M,5,6,2,4,1
1,Video,491902,5,25,150,20,S5cardD.avi,S,5,6,2,4,2
2,Video,1436951,28,44,150,16,S4buttonD.avi,S,4,6,2,4,2
3,Video,2217644,47,67,150,20,M5cardD.avi,M,5,6,2,4,2
4,Video,3162694,70,92,150,22,S2boatD.avi,S,2,6,2,4,2
5,Video,4190005,95,111,150,16,M4buttonD.avi,M,4,6,2,4,2
6,Video,4970697,114,150,150,36,M2boatD.avi,M,2,6,2,4,2
1,Video,457374,4,31,225,27,S8frameD.avi,S,8,14,1,1,2
2,Video,1690023,34,51,225,17,S6cigaretteD.avi,S,6,14,1,1,2
3,Video,2511845,54,81,225,27,M8frameD.avi,M,8,14,1,1,2
4,Video,3744494,84,103,225,19,S3breakfastD.avi,S,3,14,1,1,2
5,Video,4648481,106,123,225,17,M6cigaretteD.avi,M,6,14,1,1,2
6,Video,5470303,126,138,225,12,S1ballonD.avi,S,1,14,1,1,2
7,Video,6086669,141,160,225,19,M3breakfastD.avi,M,3,14,1,1,2
8,Video,6990656,163,182,225,19,S7flowersD.avi,S,7,14,1,1,2
9,Video,7894560,185,197,225,12,M1ballonD.avi,M,1,14,1,1,2
10,Video,8510926,200,225,225,25,M7flowersD.avi,M,7,14,1,1,2
1,Video,495986,5,32,220,27,S8frameD.avi,S,8,8,1,1,2
2,Video,1728741,35,52,220,17,S6cigaretteD.avi,S,6,8,1,1,2
3,Video,2550523,55,82,220,27,M8frameD.avi,M,8,8,1,1,2
4,Video,3783195,85,104,220,19,S3breakfastD.avi,S,3,8,1,1,2
5,Video,4687155,107,124,220,17,M6cigaretteD.avi,M,6,8,1,1,2
6,Video,5508937,127,139,220,12,S1ballonD.avi,S,1,8,1,1,2
7,Video,6125273,142,161,220,19,M3breakfastD.avi,M,3,8,1,1,2
8,Video,7029232,164,183,220,19,S7flowersD.avi,S,7,8,1,1,2
9,Video,7933275,186,198,220,12,M1ballonD.avi,M,1,8,1,1,2
10,Video,8549612,201,220,220,19,M7flowersD.avi,M,7,8,1,1,2
1,Video,500570,5,17,195,12,S13lightD.avi,S,13,8,2,3,1
2,Video,1116906,20,40,195,20,S16pencilD.avi,S,16,8,2,3,1
3,Video,2061955,43,55,195,12,M13lightD.avi,M,13,8,2,3,1
4,Video,2678291,58,73,195,15,S18removerD.avi,S,18,8,2,3,1
5,Video,3417894,76,96,195,20,M16pencilD.avi,M,16,8,2,3,1
6,Video,4363027,99,117,195,18,S19sandwichD.avi,S,19,8,2,3,1
7,Video,5225897,120,135,195,15,M18removerD.avi,M,18,8,2,3,1
8,Video,5965501,138,147,195,9,S22shirtD.avi,S,22,8,2,3,1
9,Video,6458570,150,168,195,18,M19sandwichD.avi,M,19,8,2,3,1
