"","filename","sub","run","ses","task","name","Duration","nTR","Code","muvi_start_volume","muvi_end_volume"
"140","S03_session2_set4_run2-Set4_run2.log","S03","2","2","4","S4buttonD.avi","660077",16,"Action2",29,43
"141","S03_session2_set4_run2-Set4_run2.log","S03","2","2","4","M5cardD.avi","830080",20,"Action3",48,66
"142","S03_session2_set4_run2-Set4_run2.log","S03","2","2","4","S2boatD.avi","940023",23,"Action4",71,92
"143","S03_session2_set4_run2-Set4_run2.log","S03","2","2","4","M4buttonD.avi","659993",16,"Action5",96,110
"144","S03_session2_set4_run2-Set4_run2.log","S03","2","2","4","M2boatD.avi","940023",23,"Action6",115,136
"145","S05_session1_set1_run1-Set1_run1.log","S05","1","1","1","S1ballonD.avi","500000",12,"Action1",6,16
"146","S05_session1_set1_run1-Set1_run1.log","S05","1","1","1","S3breakfastD.avi","790040",19,"Action2",21,38
"147","S05_session1_set1_run1-Set1_run1.log","S05","1","1","1","M1ballonD.avi","510010",12,"Action3",43,53
"148","S05_session1_set1_run1-Set1_run1.log","S05","1","1","1","S6cigaretteD.avi","720053",18,"Action4",58,74
"149","S05_session1_set1_run1-Set1_run1.log","S05","1","1","1","M3breakfastD.avi","790040",19,"Action5",78,95
"150","S05_session1_set1_run1-Set1_run1.log","S05","1","1","1","S7flowersD.avi","819986",20,"Action6",100,118
"151","S05_session1_set1_run1-Set1_run1.log","S05","1","1","1","M6cigaretteD.avi","720053",18,"Action7",123,139
"152","S05_session1_set1_run1-Set1_run1.log","S05","1","1","1","S8frameD.avi","1120036",27,"Action8",143,168
"153","S05_session1_set1_run1-Set1_run1.log","S05","1","1","1","M7flowersD.avi","810060",20,"Action9",173,191
"154","S05_session1_set1_run1-Set1_run1.log","S05","1","1","1","M8frameD.avi","1120036",27,"Action10",195,220
"155","S05_session1_set1_run2-Set1_run2.log","S05","2","1","1","S8frameD.avi","1120036",27,"Action1",6,31
"156","S05_session1_set1_run2-Set1_run2.log","S05","2","1","1","S6cigaretteD.avi","720053",18,"Action2",36,52
"157","S05_session1_set1_run2-Set1_run2.log","S05","2","1","1","M8frameD.avi","1120036",27,"Action3",56,81
"158","S05_session1_set1_run2-Set1_run2.log","S05","2","1","1","S3breakfastD.avi","790039",19,"Action4",86,103
"159","S05_session1_set1_run2-Set1_run2.log","S05","2","1","1","M6cigaretteD.avi","720053",18,"Action5",108,124
"160","S05_session1_set1_run2-Set1_run2.log","S05","2","1","1","S1ballonD.avi","500000",12,"Action6",128,138
"161","S05_session1_set1_run2-Set1_run2.log","S05","2","1","1","M3breakfastD.avi","790040",19,"Action7",143,160
"162","S05_session1_set1_run2-Set1_run2.log","S05","2","1","1","S7flowersD.avi","819986",20,"Action8",165,183
"163","S05_session1_set1_run2-Set1_run2.log","S05","2","1","1","M1ballonD.avi","510010",12,"Action9",188,198
"164","S05_session1_set1_run2-Set1_run2.log","S05","2","1","1","M7flowersD.avi","809976",20,"Action10",203,221
"165","S05_session1_set2_run1-Set2_run1.log","S05","1","1","2","S12letterD.avi","420086",10,"Action1",6,14
"166","S05_session1_set2_run1-Set2_run1.log","S05","1","1","2","S14nailD.avi","489990",12,"Action2",19,29
"167","S05_session1_set2_run1-Set2_run1.log","S05","1","1","2","M12letterD.avi","420003",10,"Action3",33,41
"168","S05_session1_set2_run1-Set2_run1.log","S05","1","1","2","S15juiceD.avi","619953",15,"Action4",46,59
"169","S05_session1_set2_run1-Set2_run1.log","S05","1","1","2","M14nailD.avi","490073",12,"Action5",64,74
"170","S05_session1_set2_run1-Set2_run1.log","S05","1","1","2","S17pillowD.avi","440023",11,"Action6",78,87
"171","S05_session1_set2_run1-Set2_run1.log","S05","1","1","2","M15juiceD.avi","620036",15,"Action7",91,104
"172","S05_session1_set2_run1-Set2_run1.log","S05","1","1","2","S21toastD.avi","649983",16,"Action8",109,123
"173","S05_session1_set2_run1-Set2_run1.log","S05","1","1","2","M17pillowD.avi","440023",11,"Action9",127,136
"174","S05_session1_set2_run1-Set2_run1.log","S05","1","1","2","M21toastD.avi","649983",16,"Action10",140,154
"175","S05_session1_set2_run2-Set2_run2.log","S05","2","1","2","S21toastD.avi","649983",16,"Action1",6,20
"176","S05_session1_set2_run2-Set2_run2.log","S05","2","1","2","S15juiceD.avi","620036",15,"Action2",24,37
"177","S05_session1_set2_run2-Set2_run2.log","S05","2","1","2","M21toastD.avi","649983",16,"Action3",42,56
"178","S05_session1_set2_run2-Set2_run2.log","S05","2","1","2","S14nailD.avi","490073",12,"Action4",60,70
"179","S05_session1_set2_run2-Set2_run2.log","S05","2","1","2","M15juiceD.avi","620036",15,"Action5",74,87
"180","S05_session1_set2_run2-Set2_run2.log","S05","2","1","2","S12letterD.avi","420003",10,"Action6",92,100
"181","S05_session1_set2_run2-Set2_run2.log","S05","2","1","2","M14nailD.avi","489990",12,"Action7",105,115
"182","S05_session1_set2_run2-Set2_run2.log","S05","2","1","2","S17pillowD.avi","440023",11,"Action8",119,128
"183","S05_session1_set2_run2-Set2_run2.log","S05","2","1","2","M12letterD.avi","420003",10,"Action9",132,140
"184","S05_session1_set2_run2-Set2_run2.log","S05","2","1","2","M17pillowD.avi","440023",11,"Action10",145,154
"185","S05_session2_set3_run1-Set3_run1.log","S05","1","2","3","S13lightD.avi","500001",12,"Action1",6,16
"186","S05_session2_set3_run1-Set3_run1.log","S05","1","2","3","S16pencilD.avi","829998",20,"Action2",21,39
"187","S05_session2_set3_run1-Set3_run1.log","S05","1","2","3","M13lightD.avi","510011",12,"Action3",44,54
"188","S05_session2_set3_run1-Set3_run1.log","S05","1","2","3","S18removerD.avi","640058",16,"Action4",59,73
"189","S05_session2_set3_run1-Set3_run1.log","S05","1","2","3","M16pencilD.avi","829998",20,"Action5",77,95
"190","S05_session2_set3_run1-Set3_run1.log","S05","1","2","3","S19sandwichD.avi","760011",19,"Action6",100,117
"191","S05_session2_set3_run1-Set3_run1.log","S05","1","2","3","M18removerD.avi","639974",16,"Action7",121,135
"192","S05_session2_set3_run1-Set3_run1.log","S05","1","2","3","S22shirtD.avi","380047",9,"Action8",139,146
"193","S05_session2_set3_run1-Set3_run1.log","S05","1","2","3","M19sandwichD.avi","770021",19,"Action9",151,168
"194","S05_session2_set3_run1-Set3_run1.log","S05","1","2","3","M22shirtD.avi","380047",9,"Action10",172,179
"195","S05_session2_set3_run2-Set3_run2.log","S05","2","2","3","S22shirtD.avi","380047",9,"Action1",6,13
"196","S05_session2_set3_run2-Set3_run2.log","S05","2","2","3","S18removerD.avi","640058",16,"Action2",18,32
"197","S05_session2_set3_run2-Set3_run2.log","S05","2","2","3","M22shirtD.avi","379964",9,"Action3",36,43
"198","S05_session2_set3_run2-Set3_run2.log","S05","2","2","3","S16pencilD.avi","829998",20,"Action4",48,66
"199","S05_session2_set3_run2-Set3_run2.log","S05","2","2","3","M18removerD.avi","640057",16,"Action5",71,85
"200","S05_session2_set3_run2-Set3_run2.log","S05","2","2","3","S13lightD.avi","500001",12,"Action6",89,99
"201","S05_session2_set3_run2-Set3_run2.log","S05","2","2","3","M16pencilD.avi","830081",20,"Action7",104,122
"202","S05_session2_set3_run2-Set3_run2.log","S05","2","2","3","S19sandwichD.avi","760011",19,"Action8",127,144
"203","S05_session2_set3_run2-Set3_run2.log","S05","2","2","3","M13lightD.avi","510011",12,"Action9",148,158
"204","S05_session2_set3_run2-Set3_run2.log","S05","2","2","3","M19sandwichD.avi","770021",19,"Action10",163,180
"205","S05_session2_set4_run1-Set4_run1.log","S05","1","2","4","S2boatD.avi","940024",23,"Action1",6,27
"206","S05_session2_set4_run1-Set4_run1.log","S05","1","2","4","S4buttonD.avi","660077",16,"Action2",31,45
"207","S05_session2_set4_run1-Set4_run1.log","S05","1","2","4","M2boatD.avi","940024",23,"Action3",50,71
"208","S05_session2_set4_run1-Set4_run1.log","S05","1","2","4","S5cardD.avi","829998",20,"Action4",75,93
"209","S05_session2_set4_run1-Set4_run1.log","S05","1","2","4","M4buttonD.avi","660077",16,"Action5",98,112
"210","S05_session2_set4_run1-Set4_run1.log","S05","1","2","4","M5cardD.avi","829998",20,"Action6",117,135
"211","S05_session2_set4_run2-Set4_run2.log","S05","2","2","4","S5cardD.avi","829998",20,"Action1",6,24
"212","S05_session2_set4_run2-Set4_run2.log","S05","2","2","4","S4buttonD.avi","659994",16,"Action2",29,43
"213","S05_session2_set4_run2-Set4_run2.log","S05","2","2","4","M5cardD.avi","829998",20,"Action3",48,66
"214","S05_session2_set4_run2-Set4_run2.log","S05","2","2","4","S2boatD.avi","940024",23,"Action4",71,92
"215","S05_session2_set4_run2-Set4_run2.log","S05","2","2","4","M4buttonD.avi","659994",16,"Action5",96,110
"216","S05_session2_set4_run2-Set4_run2.log","S05","2","2","4","M2boatD.avi","940025",23,"Action6",115,136
"217","S06_session1_set1_run1-Set1_run1.log","S06","1","1","1","S1ballonD.avi","499987",12,"Action1",7,17
"218","S06_session1_set1_run1-Set1_run1.log","S06","1","1","1","S3breakfastD.avi","790027",19,"Action2",22,39
"219","S06_session1_set1_run1-Set1_run1.log","S06","1","1","1","M1ballonD.avi","509988",12,"Action3",44,54
"220","S06_session1_set1_run1-Set1_run1.log","S06","1","1","1","S6cigaretteD.avi","720018",18,"Action4",59,75
"221","S06_session1_set1_run1-Set1_run1.log","S06","1","1","1","M3breakfastD.avi","790027",19,"Action5",79,96
"222","S06_session1_set1_run1-Set1_run1.log","S06","1","1","1","S7flowersD.avi","820032",20,"Action6",101,119
"223","S06_session1_set1_run1-Set1_run1.log","S06","1","1","1","M6cigaretteD.avi","720018",18,"Action7",123,139
"224","S06_session1_set1_run1-Set1_run1.log","S06","1","1","1","S8frameD.avi","1119990",27,"Action8",143,168
"225","S06_session1_set1_run1-Set1_run1.log","S06","1","1","1","M7flowersD.avi","810030",20,"Action9",173,191
"226","S06_session1_set1_run1-Set1_run1.log","S06","1","1","1","M8frameD.avi","1120074",27,"Action10",195,220
"227","S06_session1_set1_run2-Set1_run2.log","S06","2","1","1","S8frameD.avi","1119990",27,"Action1",6,31
"228","S06_session1_set1_run2-Set1_run2.log","S06","2","1","1","S6cigaretteD.avi","720018",18,"Action2",36,52
"229","S06_session1_set1_run2-Set1_run2.log","S06","2","1","1","M8frameD.avi","1120074",27,"Action3",56,81
"230","S06_session1_set1_run2-Set1_run2.log","S06","2","1","1","S3breakfastD.avi","790027",19,"Action4",86,103
"231","S06_session1_set1_run2-Set1_run2.log","S06","2","1","1","M6cigaretteD.avi","720018",18,"Action5",108,124
"232","S06_session1_set1_run2-Set1_run2.log","S06","2","1","1","S1ballonD.avi","499987",12,"Action6",128,138
"233","S06_session1_set1_run2-Set1_run2.log","S06","2","1","1","M3breakfastD.avi","790027",19,"Action7",143,160
"234","S06_session1_set1_run2-Set1_run2.log","S06","2","1","1","S7flowersD.avi","820031",20,"Action8",165,183
"235","S06_session1_set1_run2-Set1_run2.log","S06","2","1","1","M1ballonD.avi","510071",12,"Action9",187,197
"236","S06_session1_set1_run2-Set1_run2.log","S06","2","1","1","M7flowersD.avi","810030",20,"Action10",202,220
"237","S06_session1_set2_run1-Set2_run1.log","S06","1","1","2","S12letterD.avi","419975",10,"Action1",6,14
"238","S06_session1_set2_run1-Set2_run1.log","S06","1","1","2","S14nailD.avi","489985",12,"Action2",19,29
"239","S06_session1_set2_run1-Set2_run1.log","S06","1","1","2","M12letterD.avi","419975",10,"Action3",33,41
"240","S06_session1_set2_run1-Set2_run1.log","S06","1","1","2","S15juiceD.avi","620004",15,"Action4",46,59
"241","S06_session1_set2_run1-Set2_run1.log","S06","1","1","2","M14nailD.avi","489985",12,"Action5",64,74
"242","S06_session1_set2_run1-Set2_run1.log","S06","1","1","2","S17pillowD.avi","440062",11,"Action6",78,87
